76,16875
81,8841
463,13259
1064,9375
3597,4122
4237,10933
4708,12010
4937,12609
5802,12513
6377,6844
6378,6840
6379,13737
6380,8078
7305,7805
8305,9382
8452,3260
9294,7186
9897,6866
9910,6118
10243,13344
10307,14244
10340,9385
10344,4589
10880,10433
13497,7397
15509,14180
21102,8359
21509,5010
24280,6371
24595,6901
24677,5301
24935,14027
25057,5654
25879,19406
25930,13372
25935,13366
26888,18305
27934,14091
28211,6276
29673,14155
29986,7930
32230,9393
33890,9197
35316,6389
36873,9906
37143,7160
37893,13353
37935,19082
37963,10938
38024,13376
38819,2796
39232,5720
39462,1847
39714,9128
40333,8082
40441,13397
41307,5238
44450,6715
44728,8223
46257,759
46354,570
48929,13222
49378,13647
50194,9131
50604,16955
51499,10947
51604,10951
51988,12596
52508,14008
52510,7251
52513,8630
53810,4766
54222,5394
55621,13614
56856,9405
56858,6852
58001,9141
60615,6697
60868,7480
62213,9136
62734,12934
64339,846
65136,5692
67200,9418
67267,6321
67938,2037
68557,7625
69598,12578
69819,8835
69889,7298
71349,12508
71578,7858
71664,16435
71763,14071
72456,6211
72467,5262
72475,7974
72479,14087
72787,5779
74847,12242
76909,9921
76917,9439
76973,13212
77764,9110
78502,6663
78643,14011
79502,7154
79796,16821
80200,5410
80913,9442
80925,13198
80981,13226
81720,457
82226,16212
82646,13551
83539,9101
83800,4876
83919,16697
86870,11442
88373,8052
88709,13506
89552,7476
90036,14239
91093,7438
91334,1550
92132,3584
92763,9926
94644,13721
95135,6030
96003,8099
96216,7614
96392,9363
97348,5064
97588,5060
97662,13962
99341,6215
100037,18542
100038,2540
100045,14150
100082,1335
100327,9025
100648,13917
101115,13361
101632,13110
103189,7875
103704,5661
103710,4490
104025,1094
104148,4955
104166,19520
104180,18505
105995,9459
106260,7598
106836,13669
109007,16826
109831,14223
110276,8508
110929,984
111088,7633
111983,7792
112243,5976
113591,9145
113767,7611
114648,16419
114709,9929
116509,8739
120726,14277
121003,6336
121543,7890
122013,9037
123139,6938
123401,13707
124615,14253
125242,5670
125681,13988
126057,3638
126985,3373
128185,9469
129734,768
129943,5042
130838,4426
132610,8170
135224,5219
136181,28
136329,2290
137336,18547
139699,1690
140053,5812
140244,4499
143037,7086
146817,12941
146965,13836
150737,10463
151890,7346
153051,9047
155408,14294
155785,8028
157182,2030
157251,16890
160135,16765
161172,2342
161855,13619
162304,7704
164079,1387
164907,18550
165477,6880
166482,3490
166635,9494
167452,13082
167831,9504
169903,194
170635,14111
172507,1787
172805,573
172949,2996
174767,9516
175439,339
177170,19495
177285,5932
177490,6026
178514,6968
179873,14431
180175,19443
180672,2210
180677,4403
180694,5312
180904,16628
181354,7059
181879,16960
181987,2584
182440,8293
182699,4435
185219,8770
185858,546
187209,5631
187431,14031
187802,4988
188025,9545
188798,9548
